date_time,region,count
2015-06-25 05:25:00,Nord-Pas-de-Calais,6
2015-06-25 05:25:00,Pays de la Loire,14
2015-06-25 05:26:00,Nord-Pas-de-Calais,1
2015-06-25 05:26:00,Pays de la Loire,1
2015-06-25 05:27:00,Nord-Pas-de-Calais,2
2015-06-25 05:28:00,Bourgogne,1
2015-06-25 05:28:00,Nord-Pas-de-Calais,1
2015-06-25 05:28:00,Pays de la Loire,1
2015-06-25 05:28:37,Rhone-Alpes,3
2015-06-25 05:29:00,Nord-Pas-de-Calais,3
2015-06-25 05:30:00,Bourgogne,4
2015-06-25 05:30:00,Bretagne,1
2015-06-25 05:30:00,Centre-Val de Loire,3
2015-06-25 05:30:00,Nord-Pas-de-Calais,23
2015-06-25 05:30:00,Pays de la Loire,11
2015-06-25 05:30:17,le-de-France,1
2015-06-25 05:30:21,Bretagne,1
2015-06-25 05:30:22,Nord-Pas-de-Calais,1
2015-06-25 05:31:00,Nord-Pas-de-Calais,2
2015-06-25 05:32:00,Nord-Pas-de-Calais,3
2015-06-25 05:32:44,Rhone-Alpes,2
2015-06-25 05:33:00,Centre-Val de Loire,1
2015-06-25 05:33:00,Nord-Pas-de-Calais,3
2015-06-25 05:34:00,Centre-Val de Loire,1
2015-06-25 05:34:00,Nord-Pas-de-Calais,1
2015-06-25 05:35:00,Bourgogne,5
2015-06-25 05:35:00,Bretagne,4
2015-06-25 05:35:00,Nord-Pas-de-Calais,7
2015-06-25 05:35:00,Pays de la Loire,9
2015-06-25 05:36:00,Nord-Pas-de-Calais,4
2015-06-25 05:37:00,Nord-Pas-de-Calais,7
2015-06-25 05:38:00,Nord-Pas-de-Calais,3
2015-06-25 05:38:25,Rhone-Alpes,3
2015-06-25 05:38:37,Rhone-Alpes,6
2015-06-25 05:39:00,Nord-Pas-de-Calais,5
2015-06-25 05:39:00,Pays de la Loire,1
2015-06-25 05:39:20,Rhone-Alpes,1
2015-06-25 05:40:00,le-de-France,1
2015-06-25 05:40:00,Bretagne,3
2015-06-25 05:40:00,Centre-Val de Loire,4
2015-06-25 05:40:00,Nord-Pas-de-Calais,17
2015-06-25 05:40:00,Pays de la Loire,1
2015-06-25 05:41:00,Nord-Pas-de-Calais,5
2015-06-25 05:42:00,Nord-Pas-de-Calais,5
2015-06-25 05:42:44,Rhone-Alpes,2
2015-06-25 05:43:00,Nord-Pas-de-Calais,5
2015-06-25 05:43:20,Rhone-Alpes,2
2015-06-25 05:44:00,Nord-Pas-de-Calais,5
2015-06-25 05:45:00,Bourgogne,3
2015-06-25 05:45:00,Centre-Val de Loire,5
2015-06-25 05:45:00,Nord-Pas-de-Calais,14
2015-06-25 05:45:00,Pays de la Loire,1
2015-06-25 05:45:16,le-de-France,1
2015-06-25 05:45:20,Bretagne,1
2015-06-25 05:45:21,Nord-Pas-de-Calais,1
2015-06-25 05:46:00,Bourgogne,3
2015-06-25 05:46:00,Nord-Pas-de-Calais,10
